GeneName	tSNE_1	tSNE_2	x	SELL_Opacity	SELL_Expr	SELL_Color
TTH1-25-0508	14.2496413352111	12.3674347746358	3	0.9729671018446919	3553.1753883869	#ff0808
PTC62-0407	-37.5943828954634	-1.10575650640202	0	0.10185957788964062	7.56890652155983	#ffffff
PTH110-0407	2.53507343847256	46.6973769941819	1	1.0	3763.47371329731	#ff0000
PTC54-0205	-9.97980245796229	-2.78407400209773	5	0.1	0.0	#ffffff
TTR44-0322	21.3379741919145	-19.9329599762601	8	0.1	0.0	#ffffff
JTH-35-0508	-2.63025609961772	-2.12141435907176	6	0.1	0.0	#ffffff
TTC4-1116	-7.54567750480668	-27.7142785472127	0	0.1	0.0	#ffffff
JTS-50-0508	2.59668644903003	-3.85030893651253	6	0.1	0.0	#ffffff
NTH2-79-0508	9.66810943547847	-1.94259299333154	6	0.1	0.0	#ffffff
NTC179-1116	-23.5859554653148	-15.5105821218491	0	0.10178318939519665	7.25798791094934	#ffffff
TTH99-0407	-19.4032194032618	22.8040792263362	0	0.10084563955824011	3.44194604749223	#ffffff
TTS1-60-0508	34.2379438167657	0.649103653261999	4	0.36594282924262944	1082.44802534495	#ffb4b4
