""	"HSC.Prog_Normal.derived.combined_PMID_30827681"	"GMP_Normal.derived.combined_PMID_30827681"	"Myeloid_Normal.derived.combined_PMID_30827681"	"HSC.Prog.like_Tumor.derived.combined_PMID_30827681"	"GMP.like_Tumor.derived.combined_PMID_30827681"	"Myeloid.like_Tumor.derived.combined_PMID_30827681"	"HSC.like_Tumor.derived.per.cell.type_PMID_30827681"
"S615"	0.364489434459415	0.403245299622623	0.365615668340134	0.332748907318686	0.41230683782142	0.395067704908031	0.230412694287753
"S616"	0.360769021858578	0.42301368484831	0.44651578287938	0.332992570663149	0.421801816762353	0.469056621820497	0.220881642397879
"S617"	0.335562279521759	0.37628314345534	0.478691322792906	0.272799536931748	0.361648784849574	0.492508065622435	0.192056329690068
"S618"	0.364039601596653	0.399804802902749	0.406769570156985	0.326107496377855	0.378880693763732	0.430589563649861	0.229888327440501
"S619"	0.356152709856487	0.402370029412528	0.398836926227496	0.320253792024309	0.390306581614686	0.408616915101659	0.196693540173192
"S620"	0.353988973995816	0.399780088128437	0.463691707696231	0.311503706722319	0.375954728704665	0.488745438562326	0.200206812550627
"S621"	0.360101261658997	0.367501049735467	0.460229412609757	0.301831908990918	0.370128925791887	0.460986230364264	0.202175757842816
"S622"	0.382279312656905	0.401393319299685	0.446672902957873	0.349270057352077	0.408403466644219	0.464331160645427	0.26149111861813
"S623"	0.359843277987449	0.413355818385309	0.468188822088694	0.311077962166956	0.379852779113996	0.485799595686977	0.196573923651881
"S624"	0.384267192320085	0.426236757906715	0.488038409871399	0.349019828620676	0.41466869473144	0.497842865447365	0.259697651910319
"S625"	0.368487930128871	0.378606923536999	0.423342229209314	0.344497641503807	0.373070242351643	0.448357876866481	0.242475273254002
"S626"	0.384725743228662	0.384299161593421	0.413733856844125	0.340183778839923	0.379500731836876	0.435187261594597	0.217980266031533
"S627"	0.355036656264017	0.414048288381343	0.43456331237428	0.309661858924135	0.390143031146288	0.455682960889473	0.219915229182064
"S628"	0.374983845322177	0.352907856342497	0.366196174523283	0.332065881259517	0.342814476879108	0.378057867166202	0.235344114135005
"S629"	0.36897809452385	0.382469045891122	0.341367466444791	0.328983238570589	0.364194371997242	0.372207739341272	0.234122904914754
"S630"	0.386458414993725	0.418874032692655	0.393308474044347	0.353209171083478	0.380418160556998	0.424290905843489	0.24371659032594
"S631"	0.349762728929289	0.374483806424155	0.39177185893969	0.297076046831575	0.357535646381176	0.419973718410248	0.192834314698939
"S632"	0.355456896854395	0.382442007976746	0.456127957575612	0.291444968385468	0.374441685467019	0.462714622382822	0.210920345948506
"S633"	0.363922148789959	0.441921374708247	0.456723584470955	0.336590616133565	0.445325616291197	0.480564039949582	0.236526343321505
"S634"	0.349034776987449	0.370156896385309	0.482766130088694	0.272428394166956	0.370150978113996	0.491717804686977	0.200590112651881
"S635"	0.373367209465691	0.381184400929969	0.432114274295788	0.340930162235208	0.368833171264422	0.453072667064543	0.228787328961813
"S636"	0.353790321858578	0.44187507384831	0.40706133987938	0.313514100663149	0.443679748762353	0.438144214820496	0.219772345397879
"S637"	0.376337944993725	0.415802578692655	0.462193569044347	0.344680559083478	0.401510121556998	0.473081183843489	0.25517769232594
"S638"	0.349973758858578	0.38079972184831	0.37845770487938	0.289333567663149	0.360897404762353	0.388734175820496	0.175316523397879
"S639"	0.385724222322177	0.377089093342497	0.362530051523283	0.345858915259517	0.352549441879108	0.378878189166202	0.261135820135005
"S640"	0.367500806787867	0.433625578272465	0.480712722819071	0.347252105494724	0.40824254614353	0.484019296230745	0.215222333096818
